name,email,sector,city,phone,website,address,formations,description,url
"IEJ - Institut d'études judiciaires, Université Panthéon-Sorbonne",Non trouvé,Unité de formation et de recherche,Paris,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_pantheon_sorbonne-1068
"IEJ - Institut d'études judiciaires, Université de Valenciennes et du Hainaut Cambrésis",Non trouvé,Unité de formation et de recherche,Lille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_de_valenciennes_et_du_hainaut_cambresis-1069
"IEJ - Institut d'études judiciaires, Université d'Evry-Val-d'Essonne",Non trouvé,Unité de formation et de recherche,Évry-Courcouronnes,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_d_evry_val_d_essonne-1070
"IEJ - Institut d'études judiciaires, Université de Nantes",Non trouvé,Unité de formation et de recherche,Nantes,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_de_nantes-1072
"IEJ - Institut d'études judiciaires, Université de Limoges",Non trouvé,Unité de formation et de recherche,Limoges,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_de_limoges-1073
"IEJ - Institut d'études judiciaires, Université de Cergy-Pontoise",Non trouvé,Unité de formation et de recherche,Cergy,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_de_cergy_pontoise-1075
"IEJ - Institut d'études judiciaires, Université de Caen Basse-Normandie",Non trouvé,Unité de formation et de recherche,Caen,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_de_caen_basse_normandie-1076
"IEJ - Institut d'études judiciaires, Université Bordeaux",Non trouvé,Unité de formation et de recherche,Bordeaux,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_bordeaux-1077
"IEJ - Institut d'études judiciaires - UFR de Droit de Toulon, Université de Toulon",Non trouvé,Unité de formation et de recherche,Toulon,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_ufr_de_droit_de_toulon_universite_de_toulon-1079
"IEJ - Institut d'études judiciaires - Faculté sciences juridiques politiques, Université de Lille 2",Non trouvé,Unité de formation et de recherche,Lille,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_faculte_sciences_juridiques_politiques_universite_de_lille_2-1080
"IEJ - Institut d'études judiciaires, Université de Reims Champagne-Ardenne",Non trouvé,Unité de formation et de recherche,Reims,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_de_reims_champagne_ardenne-1081
"IEJ - Institut d'études judiciaires, Université de Rouen",Non trouvé,Unité de formation et de recherche,Rouen,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_de_rouen-1082
"Institut d'études judiciaires - Faculté de Droit, sciences politiques, économie et gestion, Université de Nice - Sophia Antipolis",Non trouvé,Unité de formation et de recherche,Nice,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-institut_d_etudes_judiciaires_faculte_de_droit_sciences_politiques_economie_et_gestion_universite_de_nice_sophia_antipolis-1083
"IEJ - Institut d'études judiciaires, Université de Lorraine",Non trouvé,Unité de formation et de recherche,Nancy,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_de_lorraine-1085
"Institut d'études européennes, Université Vincennes-Saint-Denis",Non trouvé,Unité de formation et de recherche,Bobigny,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-institut_d_etudes_europeennes_universite_vincennes_saint_denis-1086
"IEJ - Institut d'études judiciaires, Université Paris-Sud",Non trouvé,Unité de formation et de recherche,Nanterre,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_universite_paris_sud-1087
"Institut d'études judiciaires Henri Motulsky, Université Paris Ouest Nanterre La Défense",Non trouvé,Unité de formation et de recherche,Nanterre,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-institut_d_etudes_judiciaires_henri_motulsky_universite_paris_ouest_nanterre_la_defense-1089
"IEJ - Institut d'études judiciaires UFR droit et science politique, Université d'Auvergne",Non trouvé,Unité de formation et de recherche,Clermont-Ferrand,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-iej_institut_d_etudes_judiciaires_ufr_droit_et_science_politique_universite_d_auvergne-1090
"IETL - Institut d'études du travail de Lyon, Université Lumière - Lyon 2",Non trouvé,Unité de formation et de recherche,Lyon,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-ietl_institut_d_etudes_du_travail_de_lyon_universite_lumiere_lyon_2-1091
Université de Versailles-Saint-Quentin-en-Yvelines - Institut d'études culturelles,Non trouvé,Unité de formation et de recherche,Versailles,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-universite_de_versailles_saint_quentin_en_yvelines_institut_d_etudes_culturelles-1093
"Institut d'études françaises pour étudiants étrangers, Université Paul Cézanne - Aix-Marseille III",Non trouvé,Unité de formation et de recherche,Aix-en-Provence,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-institut_d_etudes_francaises_pour_etudiants_etrangers_universite_paul_cezanne_aix_marseille_iii-1095
"Institut d'électronique et d'informatique Gaspard Monge, Université Paris-Est Marne-La-Vallée",Non trouvé,Unité de formation et de recherche,Melun,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-institut_d_electronique_et_d_informatique_gaspard_monge_universite_paris_est_marne_la_vallee-1108
"ITIRI - Institut de traducteurs d'interprètes et de relations internationales, Université de Strasbourg",Non trouvé,Unité de formation et de recherche,Strasbourg,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-itiri_institut_de_traducteurs_d_interpretes_et_de_relations_internationales_universite_de_strasbourg-1110
"ITIC UM3 - Institut des Technosciences de l'Information et de la Communication, Université Montpellier III",Non trouvé,Unité de formation et de recherche,Montpellier,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-itic_um3_institut_des_technosciences_de_l_information_et_de_la_communication_universite_montpellier_iii-1116
"ISUP - Institut de statistique de l'Université Pierre et Marie Curie, Université Pierre et Marie Curie - UPMC",Non trouvé,Unité de formation et de recherche,Paris,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-isup_institut_de_statistique_de_l_universite_pierre_et_marie_curie_universite_pierre_et_marie_curie_upmc-1131
"Institut des sciences pharmaceutiques et biologiques, Université Claude Bernard - Lyon 1",Non trouvé,Unité de formation et de recherche,Lyon,Non trouvé,Non trouvé,,,,https://diplomeo.com/etablissement-institut_des_sciences_pharmaceutiques_et_biologiques_universite_claude_bernard_lyon_1-1132
