Nom,Ville,Email,Téléphone,Site Web,Adresse,Formations
"IPAG - Institut de préparation à l'administration générale, Université de Poitiers",Poitiers,Non trouvé,Non trouvé,Non trouvé,,
"IPAG - Institut de préparation à l'administration générale, Université de Nantes",Nantes,Non trouvé,Non trouvé,Non trouvé,,
"IPAG - Institut de préparation à l'administration générale, Université de Lille 2",Lille,Non trouvé,Non trouvé,Non trouvé,,
"IPAG - Institut de préparation à l'administration générale, Université de Limoges",Limoges,Non trouvé,Non trouvé,Non trouvé,,
"IPAG - Institut de préparation à l'administration générale, Université de Valenciennes et du Hainaut Cambrésis",Lille,Non trouvé,Non trouvé,Non trouvé,,
"IPAG - Institut de préparation à l'administration générale, Université de Franche-Comté",Besançon,Non trouvé,Non trouvé,Non trouvé,,
"IPAG - Institut de préparation à l'administration générale, Université Paris Ouest Nanterre La Défense",Nanterre,Non trouvé,Non trouvé,Non trouvé,,
"IPAG - Institut de préparation à l'administration générale, Université Clermont-Ferrand I",Clermont-Ferrand,Non trouvé,Non trouvé,Non trouvé,,
"Institut de préparation à l'administration générale, Université de Cergy-Pontoise",Cergy,Non trouvé,Non trouvé,Non trouvé,,
"IPAG - Institut de préparation à l'administration générale, Université de Bretagne Occidentale",Quimper,Non trouvé,Non trouvé,Non trouvé,,
"IPAG - Institut de préparation à l'administration générale, Université de Lorraine",Nancy,Non trouvé,Non trouvé,Non trouvé,,
"IPAG - Institut de préparation à l'administration générale, Université de Bourgogne",Dijon,Non trouvé,Non trouvé,Non trouvé,,
"IPROB - Institut de professionnalisation en biologie, Université catholique de Lyon",Lyon,Non trouvé,Non trouvé,Non trouvé,,
IPGP - Institut de physique du globe de Paris,Paris,Non trouvé,Non trouvé,Non trouvé,,
"IMPGT - Institut de management public et de gouvernance territoriale-Aix, Université d'Aix-Marseille",Aix-en-Provence,Non trouvé,Non trouvé,Non trouvé,,
"IMPGT - Institut de management public et de gouvernance territoriale-Marseille, Université Paul Cézanne - Aix-Marseille III",Marseille,Non trouvé,Non trouvé,Non trouvé,,
"IM2 - Institut de mécanique de Marseille, Université Aix-Marseille I, Université Aix-Marseille II",Marseille,Non trouvé,Non trouvé,Non trouvé,,
"IAE - Institut d'administration des entreprises Savoie Mont-Blanc (Chambéry), Université Savoie Mont Blanc",Chambéry,Non trouvé,Non trouvé,Non trouvé,,
"ILCF - Institut de langue et culture françaises, Université catholique de Lyon",Lyon,Non trouvé,Non trouvé,Non trouvé,,
"IJBA - Institut de journalisme de Bordeaux Aquitaine, Université Bordeaux III",Bordeaux,Non trouvé,Non trouvé,Non trouvé,,
"Institut de géographie et aménagement régional, Université de Nantes",Nantes,Non trouvé,Non trouvé,Non trouvé,,
"Institut de la communication, Université Lumière - Lyon 2",Lyon,Non trouvé,Non trouvé,Non trouvé,,
